答案1: 1'939/1813
答案2: 63'6/13
答案3: 1'17/22
答案4: 301'1/11
答案5: 33/80
答案6: 27461/64790
答案7: 169'37/2795
答案8: 63'351/407
答案9: 19'485/504
答案10: 418/3955
答案11: 30'6/4085
答案12: 1787'11/32
答案13: 3608'16/23
答案14: 209
答案15: 190/3731
答案16: 5538'10/147
答案17: 77'128/133
答案18: 689/1045
答案19: 30'32/33
答案20: 462'623/850
答案21: 1'25687/125488
答案22: 22'3102/5459
答案23: 13/405
答案24: 132
答案25: 100'57/275
答案26: 54
答案27: 279/4945
答案28: 28/209
答案29: 5'827/1100
答案30: 19/2976
答案31: 1'16252/23265
答案32: 44'107/108
答案33: 1'121/368
答案34: 18'6/37
答案35: 88'6/11
答案36: 26/75
答案37: 3/782
答案38: 31
答案39: 736
答案40: 1619
答案41: 1'943/3843
答案42: 51'7/29
答案43: 27'63/80
答案44: 1'3074/12825
答案45: 1297
答案46: 31/619500
答案47: 151'69/583
答案48: 1821'1693/1817
答案49: 1'286/645
答案50: 374440'31/81
答案51: 247'11/37
答案52: 49'1/88
答案53: 29'1/20
答案54: 1/1660
答案55: 0
答案56: 96'7/47
答案57: 1792
答案58: 53'1483/1593
答案59: 2'4/665
答案60: 82'27/43
答案61: 6'10/11
答案62: 59'133/250
答案63: 3'3151/3570
答案64: 34'266/279
答案65: 90'6/13
答案66: 1257'9/55
答案67: 3'829/1769
答案68: 45'35/73
答案69: 167
答案70: 100'30/97
答案71: 339'3/13
答案72: 120'69/170
答案73: 15/34
答案74: 66'154/261
答案75: 128'1/4
答案76: 49'627/1241
答案77: 75'17/22
答案78: 2'2245/4539
答案79: 51'23/26
答案80: 4'199/680
答案81: 1100/8127
答案82: 30'31/350
答案83: 6'1/3
答案84: 237
答案85: 88
答案86: 18'17/20
答案87: 68'27/58
答案88: 4/31
答案89: 94'31/348
答案90: 58/81
答案91: 60'188/295
答案92: 3'43/1071
答案93: 18'53/95
答案94: 86'2/5
答案95: 44'3/4
答案96: 3569/17119
答案97: 31'1099/3944
答案98: 3311/4947
答案99: 163
答案100: 13'422/455
